ID,Name,Gender,Nationality,Date of Birth,Visa Type,Visa Issue Date,Visa Expiry Date,University Degree,Occupation,Marital Status,Employment Status,Employer Name,Annual Income (KWD),Date of Entry to Kuwait,Type of Work,Number of Dependents,Residency Status,Visa Sponsor,Last Entry Date,Previous Visa Type
1.96407E+11,Salem Alshatti,Male,Non-Kuwaiti,10/10/1982,Work Visa,6/7/2020,5/6/2027,No,"Horticulturist, commercial",Widowed,Employed,"Nolan, Marshall and Turner",6143,12/14/2022,Public,3,Visitor,George-Reeves,5/23/2022,Work Visa
1.9991E+11,Mubarak Albloushi,Male,Kuwaiti,1/25/1985,Work Visa,9/23/2020,11/3/2026,No,"Clinical scientist, histocompatibility and immunogenetics",Widowed,Employed,Young-Reynolds,39480,9/27/2016,Public,2,Visitor,"Shields, Mason and Allen",10/26/2021,None
1.97008E+11,Sara Alrashidi,Female,Kuwaiti,8/8/1996,Work Visa,4/15/2024,4/19/2025,Yes,Systems developer,Married,Unemployed,,0,9/13/2018,Public,3,Visitor,"Wilkinson, Frost and Horton",9/10/2022,None
1.99902E+11,Ahmad Almutairi,Male,Non-Kuwaiti,4/9/1982,Residency Visa,6/11/2024,11/12/2026,Yes,Forensic psychologist,Widowed,Employed,"Hernandez, Gibson and Atkins",22839,12/18/2020,Private,5,Temporary Resident,Nolan-Lester,6/6/2024,None
1.97904E+11,Jana Alfailakawi,Female,Kuwaiti,9/28/1965,Student Visa,3/4/2022,4/12/2026,No,Police officer,Widowed,Unemployed,,0,2/20/2020,Public,2,Temporary Resident,Coffey-Holmes,11/15/2023,Residency Visa
1.98202E+11,Hussein Alkhateeb,Male,Kuwaiti,2/14/2006,Residency Visa,2/2/2021,7/11/2025,No,Associate Professor,Widowed,Unemployed,,0,11/7/2022,Public,5,Visitor,"Williams, Tran and Walker",4/5/2020,None
1.97908E+11,Hamad Alajmi,Male,Kuwaiti,10/16/1992,Tourist Visa,3/18/2022,8/3/2025,No,Forensic psychologist,Single,Unemployed,,0,12/8/2017,Private,2,Visitor,"Stewart, Hays and Evans",10/21/2023,Work Visa
1.97411E+11,Amina Alhajeri,Female,Non-Kuwaiti,5/30/1998,Tourist Visa,10/26/2022,9/27/2026,Yes,Clinical biochemist,Married,Retired,,0,6/5/2015,Public,0,Visitor,"Benjamin, Hart and Cooper",1/30/2020,Residency Visa
1.9931E+11,Fatma Almutairi,Female,Non-Kuwaiti,7/16/1990,Student Visa,8/15/2023,12/6/2024,No,Technical author,Divorced,Self-Employed,,6656,11/8/2016,Public,5,Temporary Resident,"Perry, Patton and Cunningham",2/19/2021,Student Visa
1.98506E+11,Dalal Albloushi,Female,Non-Kuwaiti,4/3/1960,Student Visa,1/3/2021,8/26/2024,Yes,Mudlogger,Divorced,Self-Employed,,5938,7/17/2022,Public,0,Temporary Resident,"Ford, Diaz and Brown",9/25/2021,Residency Visa
1.9691E+11,Salem Alshatti,Male,Non-Kuwaiti,5/4/1972,Work Visa,5/4/2023,2/10/2026,Yes,"Engineer, manufacturing systems",Single,Employed,Kim PLC,19463,9/27/2018,Public,4,Permanent Resident,"Roth, Ali and Gallagher",7/1/2024,None
1.99306E+11,Salem Alshatti,Male,Non-Kuwaiti,7/5/1995,Tourist Visa,1/14/2020,8/11/2024,Yes,Social researcher,Married,Retired,,0,8/4/2015,Public,4,Permanent Resident,Price Ltd,4/28/2024,Work Visa
1.99403E+11,Fahad Almubarak,Male,Non-Kuwaiti,7/2/1986,Work Visa,6/3/2022,4/27/2025,Yes,Midwife,Single,Employed,Patterson Group,7804,7/26/2018,Private,4,Permanent Resident,Velez and Sons,2/12/2024,Tourist Visa
1.96403E+11,Aisha Alshammari,Female,Non-Kuwaiti,12/17/1959,Work Visa,7/19/2022,11/12/2025,No,"Engineer, manufacturing systems",Divorced,Unemployed,,0,3/17/2018,Public,3,Visitor,"Torres, Williams and Reid",4/22/2022,None
1.96212E+11,Saad Alotaibi,Male,Non-Kuwaiti,8/9/1986,Residency Visa,7/15/2023,4/7/2026,Yes,"Designer, blown glass/stained glass",Married,Retired,,0,6/14/2018,Public,3,Temporary Resident,Martin Ltd,1/18/2021,None
2.00109E+11,Sara Alrashidi,Female,Kuwaiti,10/25/2003,Work Visa,9/13/2022,7/29/2026,Yes,"Programmer, systems",Divorced,Retired,,0,12/27/2020,Private,0,Permanent Resident,Deleon-Price,1/29/2022,Tourist Visa
